# time, kontroller, speed_kph, revers, loc36_raw, loc36_hex
# base=0x00400000
  11.40, k=241, v=27639.75, rev=  3, loc36=  +0.0000, hex=00000000
  11.50, k=241, v=27679.72, rev=  3, loc36=  +0.0000, hex=00000000
  11.60, k=241, v=27717.88, rev=  3, loc36=  +0.0000, hex=00000000
  11.70, k=241, v=27754.29, rev=  3, loc36=  +0.0000, hex=00000000
  11.80, k=241, v=27780.51, rev=  3, loc36=  +0.0000, hex=00000000
  11.90, k=241, v=27814.07, rev=  3, loc36=  +0.0000, hex=00000000
  12.00, k=241, v=27853.88, rev=  3, loc36=  +0.0000, hex=00000000
  12.10, k=241, v=27891.42, rev=  3, loc36=  +0.0000, hex=00000000
  12.20, k=241, v=27912.91, rev=  3, loc36=  +0.0000, hex=00000000
  12.30, k=241, v=27940.41, rev=  3, loc36=  +0.0000, hex=00000000
  12.41, k=241, v=27966.65, rev=  3, loc36=  +0.0000, hex=00000000
  12.51, k=241, v=27991.69, rev=  3, loc36=  +0.0000, hex=00000000
  12.61, k=241, v=28015.57, rev=  3, loc36=  +0.0000, hex=00000000
  12.71, k=241, v=28038.36, rev=  3, loc36=  +0.0000, hex=00000000
  12.81, k=241, v=28060.09, rev=  3, loc36=  +0.0000, hex=00000000
  12.91, k=241, v=28080.83, rev=  3, loc36=  +0.0000, hex=00000000
  13.01, k=241, v=28100.60, rev=  3, loc36=  +0.0000, hex=00000000
  13.11, k=241, v=28114.84, rev=  3, loc36=  +0.0000, hex=00000000
  13.22, k=241, v=28154.63, rev=  3, loc36=  +0.0000, hex=00000000
  13.32, k=241, v=28154.63, rev=  3, loc36=  +0.0000, hex=00000000
  13.42, k=241, v=28186.61, rev=  3, loc36=  +0.0000, hex=00000000
  13.52, k=241, v=28201.50, rev=  3, loc36=  +0.0000, hex=00000000
  13.63, k=241, v=28201.50, rev=  3, loc36=  +0.0000, hex=00000000
  13.73, k=241, v=28229.24, rev=  3, loc36=  +0.0000, hex=00000000
